Installation,Type,Source,Indicator,Value,Resolution
LAS MOLLACAS,deseasonalized,ERA5-Land,pearson,0.5253118019305115,Hourly
LUNA DEL NORTE,deseasonalized,ERA5-Land,pearson,0.7801451270891921,Hourly
SOL DEL NORTE,deseasonalized,ERA5-Land,pearson,0.7803818885285716,Hourly
SOLAR PSF LOMAS COLORADAS,deseasonalized,ERA5-Land,pearson,0.7877334039192448,Hourly
SOLAR SANTA CECILIA,deseasonalized,ERA5-Land,pearson,0.7314110291586691,Hourly
SPS LA HUAYCA,deseasonalized,ERA5-Land,pearson,0.8474674831128745,Hourly
LAS MOLLACAS,deseasonalized,Rn,pearson,0.4578720277223896,Hourly
LUNA DEL NORTE,deseasonalized,Rn,pearson,0.7441992675741104,Hourly
SOL DEL NORTE,deseasonalized,Rn,pearson,0.7365936538086925,Hourly
SOLAR PSF LOMAS COLORADAS,deseasonalized,Rn,pearson,0.7524330386349322,Hourly
SOLAR SANTA CECILIA,deseasonalized,Rn,pearson,0.7289739845413038,Hourly
SPS LA HUAYCA,deseasonalized,Rn,pearson,0.8400994408183107,Hourly
LAS MOLLACAS,deseasonalized,ERA5-Land,mbe,0.045317203000803434,Hourly
LUNA DEL NORTE,deseasonalized,ERA5-Land,mbe,-0.021172075765082805,Hourly
SOL DEL NORTE,deseasonalized,ERA5-Land,mbe,-0.024595842711730254,Hourly
SOLAR PSF LOMAS COLORADAS,deseasonalized,ERA5-Land,mbe,0.019956235553918972,Hourly
SOLAR SANTA CECILIA,deseasonalized,ERA5-Land,mbe,0.008426535922134276,Hourly
SPS LA HUAYCA,deseasonalized,ERA5-Land,mbe,0.004087019410476045,Hourly
LAS MOLLACAS,deseasonalized,Rn,mbe,0.04962846259472244,Hourly
LUNA DEL NORTE,deseasonalized,Rn,mbe,0.05025231548246501,Hourly
SOL DEL NORTE,deseasonalized,Rn,mbe,0.04676007869850456,Hourly
SOLAR PSF LOMAS COLORADAS,deseasonalized,Rn,mbe,0.04191482750744789,Hourly
SOLAR SANTA CECILIA,deseasonalized,Rn,mbe,0.03484472454459064,Hourly
SPS LA HUAYCA,deseasonalized,Rn,mbe,0.006105972251746701,Hourly
LAS MOLLACAS,deseasonalized,ERA5-Land,rmse,0.17074727417227129,Hourly
LUNA DEL NORTE,deseasonalized,ERA5-Land,rmse,0.1173825278134357,Hourly
SOL DEL NORTE,deseasonalized,ERA5-Land,rmse,0.11849611658977503,Hourly
SOLAR PSF LOMAS COLORADAS,deseasonalized,ERA5-Land,rmse,0.1155275085249886,Hourly
SOLAR SANTA CECILIA,deseasonalized,ERA5-Land,rmse,0.1323781810975676,Hourly
SPS LA HUAYCA,deseasonalized,ERA5-Land,rmse,0.08422149182946909,Hourly
LAS MOLLACAS,deseasonalized,Rn,rmse,0.17666516548962438,Hourly
LUNA DEL NORTE,deseasonalized,Rn,rmse,0.12863044589508715,Hourly
SOL DEL NORTE,deseasonalized,Rn,rmse,0.12958789692195685,Hourly
SOLAR PSF LOMAS COLORADAS,deseasonalized,Rn,rmse,0.12253587825501037,Hourly
SOLAR SANTA CECILIA,deseasonalized,Rn,rmse,0.13569490835164014,Hourly
SPS LA HUAYCA,deseasonalized,Rn,rmse,0.0807970690448146,Hourly
LAS MOLLACAS,deseasonalized,ERA5-Land,pearson,0.7284794883706593,Daily
LUNA DEL NORTE,deseasonalized,ERA5-Land,pearson,0.8755289023815622,Daily
SOL DEL NORTE,deseasonalized,ERA5-Land,pearson,0.8738157687976145,Daily
SOLAR PSF LOMAS COLORADAS,deseasonalized,ERA5-Land,pearson,0.9033079919348534,Daily
SOLAR SANTA CECILIA,deseasonalized,ERA5-Land,pearson,0.8315417618357656,Daily
SPS LA HUAYCA,deseasonalized,ERA5-Land,pearson,0.9120001151786152,Daily
LAS MOLLACAS,deseasonalized,Rn,pearson,0.6860787593837322,Daily
LUNA DEL NORTE,deseasonalized,Rn,pearson,0.8200811566053448,Daily
SOL DEL NORTE,deseasonalized,Rn,pearson,0.8108216643913909,Daily
SOLAR PSF LOMAS COLORADAS,deseasonalized,Rn,pearson,0.83846004732232,Daily
SOLAR SANTA CECILIA,deseasonalized,Rn,pearson,0.7946053675280066,Daily
