NOMBRE,latitude,longitude,size,start_time
ANDES SOLAR,-24.001285936016476,-68.57214924473494,21.8,2016-05-28
BELLAVISTA,-31.666267724658596,-71.2209422807212,3.0,2017-03-27
CARRERA PINTO ETAPA I,-27.00423631205058,-69.86703741596286,20.0,2016-05-03
CHANARES,-26.37305845667075,-70.08012924543272,36.0,2017-03-31
CONEJO SOLAR,-25.504103214818855,-70.16290331279363,104.0,2014-04-30
CORDILLERILLA,-35.16270112191474,-71.13231983039353,1.33,2016-12-01
EL DIVISADERO,-30.84574463612748,-71.12747300362041,3.0,2017-06-01
FV BOLERO,-23.469732345910714,-69.40926683843041,138.2,2015-06-02
LA CHAPEANA,-30.516495772621425,-71.11216859085768,2.93,2017-12-22
LA QUINTA SOLAR,-33.02892180966372,-70.71170621398426,3.0,2017-12-21
LALACKAMA,-25.119227808758918,-70.30305476904388,55.0,2015-08-31
LALACKAMA 2,-25.108892180599042,-70.3098771261934,16.5,2016-10-19
LAS ARAUCARIAS,-33.346030493802346,-70.71164363102078,0.14,2016-10-26
LAS MOLLACAS,-30.676327020803715,-71.22556442116492,2.93,2016-06-09
LAS TURCAS,-33.80384200019708,-71.28206087325913,3.0,2017-11-08
LOS PUQUIOS,-20.43731135992093,-69.54557122623596,3.0,2014-03-28
LUNA DEL NORTE,-30.040192044276893,-70.6800057833393,2.96,2016-03-01
LUZ DEL NORTE,-27.02624758083979,-69.89286185552396,141.0,2016-02-24
MARIA ELENA FV,-22.220403871837032,-69.57663441834129,68.0,2015-01-21
PAMPA SOLAR NORTE,-25.53295152670031,-70.17987069906145,69.3,2017-01-08
PARQUE SOLAR CUZ CUZ,-31.663066118882355,-71.21522447331016,3.0,2017-09-13
PARQUE SOLAR FINIS TERRAE,-22.344641621524456,-69.52243069490703,138.0,2017-03-08
PARQUE SOLAR PAMPA CAMARONES,-18.885783253833218,-70.11257572934004,6.24,2015-11-04
PFV LAGUNILLA,-30.507551344710116,-71.11190223113348,3.0,2016-02-05
PFV LOS LOROS,-27.85137752142687,-70.16848334593641,46.0,2015-08-11
PILOTO SOLAR CARDONES,-27.593460204973056,-70.44038661537785,0.4,2017-02-21
PLANTA PV CERRO DOMINADOR,-22.792958798963507,-69.45973255328859,99.05,2017-09-01
PMGD PICA PILOT,-20.499212689325528,-69.44901657247122,0.63,2018-01-31
PUERTO SECO SOLAR,-22.44992044123981,-68.87011641506636,9.0,2017-05-12
PV SALVADOR,-26.31068278854064,-69.86555886871851,68.0,2016-09-08
QUILAPILUN,-33.10369502043314,-70.68793057452001,103.02,2013-06-10
SAN FRANCISCO SOLAR,-33.04009575563708,-70.70381659226679,3.0,2017-12-21
SANTA JULIA,-32.30107070579904,-71.1039452795226,3.0,2016-10-04
SDGX01,-30.227162853269615,-71.09248138263987,1.28,2013-12-20
SOL DEL NORTE,-30.04006352202994,-70.68370578967493,2.96,2016-08-12
SOLAR ANTAY,-27.49428218567246,-70.38048721921737,9.0,2015-05-19
SOLAR CHUCHINI,-31.746817157656,-71.07885447471641,2.88,2016-08-10
SOLAR DIEGO DE ALMAGRO,-26.378934176348753,-70.02006237669094,28.05,2014-12-11
SOLAR EL AGUILA I,-18.445460813209944,-69.88672006062403,2.0,2017-10-19
SOLAR EL ROMERO,-29.109486537312982,-70.90792703901505,196.0,2017-03-03
SOLAR ESPERANZA,-26.293375930899145,-69.62753306867407,2.88,2012-12-06
SOLAR HORMIGA,-32.71603893619353,-70.72022302466213,2.54,2017-11-09
SOLAR JAMA 1,-22.586050557789484,-68.6994115013005,32.1,2015-04-14
SOLAR JAMA 2,-22.586050557789484,-68.6994115013005,22.47,2016-01-21
SOLAR JAVIERA,-26.303738697052406,-70.22074430348589,69.02,2015-07-07
SOLAR LA SILLA,-29.211369755670095,-70.74372681020719,1.53,2016-03-17
SOLAR LAS TERRAZAS,-27.628541511749305,-70.34079933182116,3.0,2013-12-15
SOLAR LLANO DE LLAMPOS,-27.11746062080248,-70.17114340114001,101.02,2014-04-30
SOLAR PSF LOMAS COLORADAS,-31.18638247016862,-71.02254980543262,2.0,2014-06-19
SOLAR SAN ANDRES,-27.25422451929337,-70.11122075294013,50.6,2016-08-17
SOLAR SANTA CECILIA,-29.117177584831456,-70.91339171901228,2.96,2014-06-19
SOLAR TECHOS ALTAMIRA,-33.479106988247686,-70.5380130488481,0.15,2013-08-08
SPS LA HUAYCA,-20.45456065243675,-69.5340123582445,25.05,2017-03-09
TAMBO REAL,-30.048527684134385,-70.77018754220043,2.94,2014-08-28
TILTIL SOLAR,-32.95754991838944,-70.81996840188637,3.0,2016-10-27
URIBE SOLAR,-23.561781195428306,-70.21660501766533,52.8,2017-11-03
VALLE DE LA LUNA II,-33.27176331189424,-70.87008043730904,3.0,2017-10-11
