,pearson_h,mbe_h,rmse_h,pearson_d,mbe_d,rmse_d,pearson_m,mbe_m,rmse_m
ANDES SOLAR,0.7974282424835166,-0.07289054521853165,0.2241183031588083,0.4542872107256888,-0.06579135446685877,0.12499958616646195,0.2454555483888458,-0.06477999999999998,0.10784522375012387
BELLAVISTA,0.7674961297209879,0.08071645147114978,0.23434947718311025,0.5502644413046263,0.09728728323699423,0.18314828361714866,0.4622516462317015,0.10724999999999997,0.16596440130341206
CARRERA PINTO ETAPA I,0.6148117654224342,0.08081650028869904,0.2958603784541416,0.2391302162161542,0.08859817684594347,0.1920190790239525,0.045507397436984884,0.09779189189189186,0.18946449214505545
CHANARES,0.738582963149102,0.0450880281461911,0.2349894894296296,0.3650880216378764,0.051632855191256835,0.1381548079129118,0.2277120132755112,0.05232244897959185,0.11031569355671003
CONEJO SOLAR,0.6682640394215617,0.0013028404465799707,0.2682710982888281,0.3239187494685047,0.01069129511677283,0.1583402721465373,0.23648948600091385,0.010684375000000005,0.1222588404267765
CORDILLERILLA,0.7610849470809814,-0.02015809481355673,0.21838575586976133,0.7306075351262288,-0.008212903225806454,0.14414054765403753,0.7641774157079241,-0.0038923076923076953,0.10003449789562983
EL DIVISADERO,0.7362220450747002,-0.13093487682569507,0.2855473960265121,0.5969693907981345,-0.13096080000000002,0.19098207057208275,0.4317299310858773,-0.12569999999999998,0.1525233050108362
FV BOLERO,0.7826702891546229,-0.041425252155926115,0.21892504081960346,0.4605050744070617,-0.03370199004975123,0.12906098401669092,0.3057989226452333,-0.024449999999999986,0.11621751745600302
LA CHAPEANA,0.7785145320077007,-0.023732917461375957,0.2197229899282381,0.6394984512507733,-0.013612665406427226,0.11936578331684125,0.7063845246126841,-0.013566666666666664,0.08444286036525922
LA QUINTA SOLAR,0.7794418526426778,-0.06265375302156395,0.22920960375530014,0.6386150632438851,-0.04863653444676408,0.14661615636378328,0.4877702352616383,-0.05031875,0.1192567110270948
