,pearson_h,mbe_h,rmse_h,pearson_d,mbe_d,rmse_d,pearson_m,mbe_m,rmse_m
ANDES SOLAR,0.8191197683544145,-0.03364286193778615,0.19969073336296966,0.3856286434498915,-0.025927473583093184,0.11403351037722607,0.18260903247617255,-0.02518571428571428,0.09216947898921236
BELLAVISTA,0.772401662970448,0.08343565612881905,0.22420929055755787,0.5213500342739028,0.1006242774566474,0.18770745126423616,0.4737149386284956,0.109265625,0.1667182737809506
CARRERA PINTO ETAPA I,0.6271529938725398,0.09980527458660522,0.2903497085118491,0.2433138198739269,0.1075468550592525,0.2019048065137269,0.13001035293523458,0.1165945945945946,0.19823995560935745
CHANARES,0.7510036414004749,0.04459067733926155,0.21836751178629946,0.3214236822946765,0.05116482240437157,0.14168841052192488,0.24663714497061626,0.05166530612244898,0.1097726648997084
CONEJO SOLAR,0.6857293347194905,0.002548986196618736,0.25100297153023104,0.36733100071570735,0.011739702760084923,0.15569494617125385,0.4052027065581218,0.011778125000000014,0.11694571791006288
CORDILLERILLA,0.7547542572986626,0.01988673721318513,0.21935702708934626,0.6690333551688753,0.03217771260997067,0.15999840789163886,0.6829758445102668,0.03805,0.11326964933969938
EL DIVISADERO,0.7544972385677636,-0.12099200430357147,0.2684264577657373,0.5608895840016079,-0.12011786666666666,0.18689751487557735,0.4105636510402649,-0.11667142857142855,0.14573623434136068
FV BOLERO,0.7939512647864985,-0.03326239752504838,0.20148246990596533,0.36738785044619976,-0.024898673300165836,0.13363008674291407,0.09228805454474932,-0.013909090909090888,0.1213309748355524
LA CHAPEANA,0.7708899453198673,-0.007122844013466448,0.21650822964484007,0.5768951906900358,0.0028635160680529283,0.12597799512295188,0.6399104173696321,0.0038138888888888845,0.08672490190891605
LA QUINTA SOLAR,0.7722094580247522,-0.028896031156553075,0.22391992239576156,0.5170388856529814,-0.01387933194154489,0.15387963208008493,0.3740904233962909,-0.01597499999999999,0.1138520695903241
LALACKAMA,0.7033298961914191,-0.002623045254998732,0.2307826922179605,0.4564610104029002,0.0006800835654596096,0.11387417872102168,0.4293513333585324,-0.0004958333333333341,0.0700102462739086
LALACKAMA 2,0.6921129320312801,0.004623923452369461,0.23517369430948706,0.3978367279460339,0.00818616144975288,0.1146744418395077,0.4038092726698749,0.005754761904761907,0.06854587792823416
LAS ARAUCARIAS,0.8150534968761524,0.11031913766401401,0.21800273229982,0.5883999221658479,0.12074113475177305,0.17246841489709308,0.6927696521494576,0.1157066666666667,0.13850292897023272
LAS MOLLACAS,0.8575728158119202,0.049628462594722436,0.17666516548962438,0.6167995091584048,0.05287732342007435,0.10823764865960732,0.8472018823858772,0.052038888888888885,0.059758411774224536
LAS TURCAS,0.7425127484820007,-0.038328007029788384,0.2428179825398468,0.6333196577916564,-0.02509610983981694,0.15571020639407696,0.7347724882009252,-0.03122666666666668,0.102680319438537
LOS PUQUIOS,0.8446916573243722,0.11234637632744833,0.20339807796523965,0.3428256655682996,0.11210315955766192,0.16009431249783615,0.01890938522914959,0.11175416666666667,0.14830436468065716
LUNA DEL NORTE,0.9271647817240984,0.05025231548246501,0.12863044589508715,0.7361101199554853,0.053601886792452834,0.09364650413042153,0.8357163670703167,0.054604999999999994,0.06464567270900659
LUZ DEL NORTE,0.6436310561206091,0.029179025841990145,0.2671215108515828,0.21973440372530248,0.03964633744855967,0.16521436238745907,-0.045071408459974205,0.055916279069767434,0.16971877833914026
MARIA ELENA FV,0.8412878476799511,-0.10450742119370378,0.20584924184976836,0.394774488579308,-0.0980932296431839,0.13462861569092407,0.0659643360956049,-0.09821388888888888,0.12490315693012373
PAMPA SOLAR NORTE,0.6982679640768092,-0.02697439243086014,0.25071320555117826,0.35063421294373104,-0.01999551345962114,0.1474579194751918,0.0629242274180819,-0.008694117647058831,0.13220149727727346
PARQUE SOLAR CUZ CUZ,0.7979483491431641,0.02504929340663897,0.19552847406035007,0.606645190388866,0.03466327433628318,0.128402096755962,0.6331382044655874,0.03170666666666668,0.08340465214842635
PARQUE SOLAR FINIS TERRAE,0.7739416355810836,-0.030397746406099706,0.2200994684381468,0.29216503499921503,-0.02552758936755271,0.1549182615855394,0.15602133365342086,-0.024063888888888888,0.14635995866356344
PARQUE SOLAR PAMPA CAMARONES,0.8155547449164579,-0.06967720801382354,0.2015328627087782,0.5187321464409169,-0.06468014477766287,0.1296087176058034,0.4996722745033316,-0.06545937499999999,0.10067751579920912
PFV LAGUNILLA,0.7649121734774689,-0.03762230981786991,0.2256337007951209,0.5693127476272096,-0.025734519104084325,0.15395208291540616,0.6320093585786348,-0.0258888888888889,0.11217294187498557
PFV LOS LOROS,0.8393502448103967,0.09191056462866576,0.20386784688633397,0.8481656347326575,0.0963412972972973,0.14319480765914852,0.8983505392057541,0.10263225806451616,0.12237691380427135
PILOTO SOLAR CARDONES,0.6048493024209288,0.16342356369691982,0.2789671626654856,0.0835245376886503,0.19239896602658788,0.2678513137501769,0.1839750053214481,0.1787434782608695,0.2275101994846939
PLANTA PV CERRO DOMINADOR,0.7642931255837191,-0.07456996446968067,0.2324057876407273,0.033507935293850405,-0.06781641221374045,0.16364073663676446,-0.29726016659956844,-0.04722777777777777,0.17966505719749118
PMGD PICA PILOT,0.6389899845021616,0.35595086337369763,0.4307010976298761,0.19280150587289285,0.3486672131147541,0.3710885133685741,0.2247742450651223,0.3528625000000001,0.3668056314316889
PUERTO SECO SOLAR,0.8291159620354692,-0.18377766680813565,0.27280327577422364,0.4162044104436808,-0.1767106032906764,0.20384884724435387,0.15590712722845634,-0.17726111111111112,0.194654019280934
PV SALVADOR,0.7142265283036571,-0.023792779580014443,0.2367480066246631,0.3659764377354546,-0.016279169503063313,0.12850969658779238,0.0474390776019471,-0.0009960784313725504,0.12312906507671804
QUILAPILUN,0.7647545475497655,0.05758690418909696,0.22416903521732687,0.4803756251860928,0.07011227272727273,0.1729465178103545,0.12849877983311692,0.08185666666666667,0.16656024035365305
SAN FRANCISCO SOLAR,0.7647452973562128,-0.02567959913347616,0.22705204920876074,0.5063746103466045,-0.011973695198329859,0.15979673845245326,0.4447612153288005,-0.015068750000000013,0.1096301196067942
SANTA JULIA,0.7705304852441781,-0.028987275820970337,0.21945276290202165,0.6557639951861423,-0.015908517350157726,0.1424558984646149,0.7533239705670444,-0.01703750000000001,0.09684883840294628
SDGX01,0.8565416137179215,0.026770612353771997,0.16170818385980745,0.3972623577583472,0.03790337995337995,0.13069119606769128,0.5432974010265708,0.025474193548387092,0.06729069580510727
SOL DEL NORTE,0.9253456556680432,0.04676007869850456,0.12958789692195685,0.7200079437157783,0.05001280918727916,0.09361624257872296,0.8461496749578107,0.047971794871794884,0.0581542841863845
SOLAR ANTAY,0.9357287970691875,-0.0737967660519065,0.1646416987529812,0.4354995331838051,-0.06970558035714285,0.10639003891090693,-0.3939729258640379,-0.03066666666666667,0.1115469009480367
SOLAR CHUCHINI,0.9185004987341636,0.06402424601287098,0.142401134958647,0.7033805063642318,0.07015756880733945,0.1110486089739348,0.7375020711269841,0.06910333333333332,0.08271752132005245
SOLAR DIEGO DE ALMAGRO,0.8049985185275343,0.12842621814237504,0.22254032925114264,0.21836425533868128,0.1380384990848078,0.19464788087462206,-0.1129717678710927,0.14671250000000002,0.19405435771968635
SOLAR EL AGUILA I,0.8898194573907491,0.0592150026799732,0.15662161448978648,0.2476232782266587,0.0617330593607306,0.1287507236846266,-0.031074713454037138,0.060863888888888884,0.11214694601280947
SOLAR EL ROMERO,0.7769115604905338,0.14610033295192296,0.2494035559798771,0.3729515218149709,0.14765252263906856,0.1916905273259328,0.30710280822589736,0.1498576923076923,0.17880324704503034
SOLAR ESPERANZA,0.9080417841108293,0.08920026231847572,0.15224401327558554,0.5499325233659599,0.08991065651760229,0.12068317814096385,0.5169903116831539,0.08774594594594594,0.10516349176401477
SOLAR HORMIGA,0.8411811096848033,0.1045163432605149,0.20544622724098185,0.4859652987987173,0.1099473829201102,0.1679611872225936,-0.11726932934517592,0.121756,0.1656866934910586
SOLAR JAMA 1,0.8153287787458513,-0.12424738311078967,0.2341920965654955,0.4590633010773136,-0.11763555758683727,0.1514877428205427,-0.012314437674336962,-0.11808055555555555,0.1413896654639228
SOLAR JAMA 2,0.8162765127293126,-0.07950926322961542,0.2098386436215509,0.4357414148082797,-0.0727720821661998,0.11991797932214285,0.055023864030065935,-0.06782777777777776,0.10937050181226504
SOLAR JAVIERA,0.7263943355855943,0.020677887629416948,0.22849430357944456,0.3796025343788556,0.026154214285714284,0.1262941938774022,0.2979493788005074,0.03158125,0.09791329816900936
SOLAR LA SILLA,0.7649342079317288,-0.023269349118456677,0.2066485412161813,0.5036331989254152,-0.009970030895983528,0.1370485732936048,0.3561343724081378,-0.00033939393939393564,0.11759508080826778
SOLAR LAS TERRAZAS,0.6989106009561671,0.07834946923690854,0.26580613652994545,-0.16511461198492072,0.14507424657534246,0.3158513561874944,-0.5929654980845105,0.14452708333333333,0.2831733733510268
SOLAR LLANO DE LLAMPOS,0.7829884898997361,-0.052860496924813885,0.2100303597420736,0.450603657397486,-0.04407344789356985,0.12574681428434184,0.2738215200794524,-0.04267666666666668,0.10763818560343724
SOLAR PSF LOMAS COLORADAS,0.9302194695803973,0.041914827507447884,0.12253587825501035,0.7847199445063495,0.04459467821782178,0.0877596532164597,0.8227447933690719,0.044181481481481474,0.054743330390306204
SOLAR SAN ANDRES,0.6962794138492849,0.09027783858564044,0.24977581901827395,0.3211869498536255,0.09321299597469808,0.17829956629826854,0.19705342031656586,0.09549322033898304,0.16513098806807575
SOLAR SANTA CECILIA,0.9074462417310956,0.03484472454459064,0.13569490835164014,0.6942630631275171,0.036268761220825854,0.0884616270898563,0.8961045415343085,0.03478947368421054,0.04571044258595086
SOLAR TECHOS ALTAMIRA,0.5531631808591856,0.1594196599020715,0.3174377885959523,0.11523494353405815,0.19109346049046325,0.2781338170080865,-0.3500490409423756,0.1977703703703704,0.26663862144191425
SPS LA HUAYCA,0.9668276716531164,0.006105972251746701,0.0807970690448146,0.7677312383769251,0.006986184812442819,0.05011783470882585,0.9279866046093306,0.006258333333333324,0.015420558067434231
TAMBO REAL,0.7314470555260291,0.14472951533415174,0.2602870384918033,0.10111575474021953,0.156047403210576,0.2263511307897988,-0.2816731320359269,0.14952105263157894,0.1979073959416905
TILTIL SOLAR,0.7814442426666607,-0.02148565301957736,0.21592613123278512,0.61583332820532,-0.0076943584070796435,0.13664555187544575,0.5924079002033371,-0.0099258064516129,0.0988074357264609
URIBE SOLAR,0.8213991543362024,-0.15072131173088532,0.24960593639635464,0.5567254930820201,-0.1404828451882845,0.17990474862383665,0.1451995638580669,-0.14427916666666665,0.16788915614178304
VALLE DE LA LUNA II,0.7892524711287516,-0.0054432051783860685,0.20898974784731206,0.6083080163046988,0.005902070393374746,0.14076724449300415,0.6176257942426144,0.004556249999999991,0.10128362713193086
